Trade_Cycle,NOS_Date,Notes
1/1/2009,12/18/2008,
2/1/2009,1/20/2009,
3/1/2009,2/17/2009,
4/1/2009,3/19/2009,
5/1/2009,4/20/2009,
6/1/2009,5/19/2009,
7/1/2009,6/18/2009,
8/1/2009,7/21/2009,
9/1/2009,8/20/2009,
10/1/2009,9/18/2009,
11/1/2009,10/20/2009,
12/1/2009,11/19/2009,
1/1/2010,12/18/2009,
2/1/2010,1/20/2010,
3/1/2010,2/17/2010,
4/1/2010,3/18/2010,
5/1/2010,4/21/2010,
6/1/2010,5/19/2010,
7/1/2010,6/18/2010,
8/1/2010,7/21/2010,
9/1/2010,8/19/2010,
10/1/2010,9/20/2010,
11/1/2010,10/20/2010,
12/1/2010,11/19/2010,
1/1/2011,12/17/2010,
2/1/2011,1/20/2011,
3/1/2011,2/17/2011,
4/1/2011,3/18/2011,
5/1/2011,4/19/2011,
6/1/2011,5/19/2011,
7/1/2011,6/20/2011,
8/1/2011,7/19/2011,
9/1/2011,8/19/2011,
10/1/2011,9/20/2011,
11/1/2011,10/20/2011,
12/1/2011,11/21/2011,
1/1/2012,12/16/2011,
2/1/2012,1/21/2012,Need actual
3/1/2012,2/21/2012,Need actual
4/1/2012,3/21/2012,Need actual
5/1/2012,4/21/2012,Need actual
6/1/2012,5/21/2012,Need actual
7/1/2012,6/21/2012,Need actual
8/1/2012,7/21/2012,Need actual
9/1/2012,8/21/2012,Need actual
10/1/2012,9/21/2012,Need actual
11/1/2012,10/21/2012,Need actual
12/1/2012,11/20/2012,
1/1/2013,12/17/2012,
2/1/2013,1/21/2013,
3/1/2013,2/19/2013,
4/1/2013,3/18/2013,
5/1/2013,4/18/2013,
6/1/2013,5/17/2013,
7/1/2013,6/18/2013,
8/1/2013,7/19/2013,
9/1/2013,8/20/2013,
10/1/2013,9/18/2013,
11/1/2013,10/21/2013,
12/1/2013,11/19/2013,
1/1/2014,12/17/2013,
2/1/2014,1/20/2014,
3/1/2014,2/18/2014,
4/1/2014,3/19/2014,
5/1/2014,4/17/2014,
6/1/2014,5/20/2014,
7/1/2014,6/18/2014,
8/1/2014,7/18/2014,
9/1/2014,8/19/2014,
10/1/2014,9/18/2014,
11/1/2014,10/20/2014,
12/1/2014,11/19/2014,
1/1/2015,12/16/2014,
2/1/2015,1/20/2015,
3/1/2015,2/18/2015,
4/1/2015,3/18/2015,
5/1/2015,4/17/2015,
6/1/2015,5/20/2015,
7/1/2015,6/17/2015,
8/1/2015,7/20/2015,
9/1/2015,8/19/2015,
10/1/2015,9/18/2015,
11/1/2015,10/20/2015,
12/1/2015,11/18/2015,
1/1/2016,12/16/2015,
2/1/2016,1/19/2016,
3/1/2016,2/17/2016,
4/1/2016,3/17/2016,
5/1/2016,4/18/2016,
6/1/2016,5/17/2016,
7/1/2016,6/17/2016,
8/1/2016,7/19/2016,
9/1/2016,8/18/2016,
10/1/2016,9/19/2016,
11/1/2016,10/19/2016,
12/1/2016,11/17/2016,
1/1/2017,12/15/2016,
2/1/2017,1/18/2017,
3/1/2017,2/16/2017,
4/1/2017,3/17/2017,
5/1/2017,4/18/2017,
6/1/2017,5/17/2017,
7/1/2017,6/19/2017,
8/1/2017,7/18/2017,
9/1/2017,8/18/2017,
10/1/2017,9/18/2017,
11/1/2017,10/18/2017,
12/1/2017,11/17/2017,
1/1/2018,12/15/2017,
