ID,Producer,Battery,Battery.1,SDate,VP,Sulf,S.Temp,A.Temp,Dens,Temp.Mean,Temp.Roll,Estevan,Weyburn,Oxbow,Yellow Grass North,Melita,Kipling,CrudeType,Unknown,C5,Light_LSB,Light_SW,Medium_LSB,Medium_SW,Midale,Heavy_SW,Heavy_Sour,Crude_Breakdown,Crude_Num,VolumeM3,mth,Net Sulf,Net Dens,Net VP,SS_VP,SS_Dens,SS_Sulf,VP_95_Spec
1,LRE,04-05-002-15W2,,12/7/2016,76.4,1.99624,15.5,-25,867.7,-16.33333333,-7.863809524,-17.2,-17.5,-16.3,-17,-13.5,-16.5,Crude,0,0,0,0,1,0,0,0,0,Medium_LSB,3,3726.96,12,6455606.983,3233883.192,284739.744,31.36993627,584.0407707,0.451098231,0
2,CENOV,05-16-006-13W2,,12/7/2016,63.6,2.3065,27.1,-20,867.7,-16.33333333,-7.863809524,-17.2,-17.5,-16.3,-17,-13.5,-16.5,Crude,0,0,0,0,1,0,0,0,0,Medium_LSB,3,118264.62,12,236688903.2,102618210.8,7521629.832,338.5926459,584.0407707,0.964124601,0
3,SPAEN,11-12-006-15W2,,12/7/2016,74.1,2.34526,31,-20,868,-16.33333333,-7.863809524,-17.2,-17.5,-16.3,-17,-13.5,-16.5,Crude,0,0,0,0,1,0,0,0,0,Medium_LSB,3,7324.14,12,14909646.92,6357353.52,542718.774,62.42401692,598.630932,1.041743708,0
4,CRESC,01-21-001-14W2,,12/8/2016,112,0.28571,-1.5,-25,804,-21.18333333,-10.48047619,-22.7,-23.3,-20.5,-20.5,-20.3,-19.8,Crude,0,0,0,1,0,0,0,0,0,Light_SW,2,15481.35,12,3556233.913,12447005.4,1733911.2,383.6087403,34.73004596,0.00074882,0
5,CRESC,14-27-001-13W2,,12/8/2016,102.9,0.39244,7,-25,819,-21.18333333,-10.48047619,-22.7,-23.3,-20.5,-20.5,-20.3,-19.8,Crude,0,0,0,1,0,0,0,0,0,Light_SW,2,21171.82,12,6804799.944,17339720.58,2178580.278,109.9547742,82.93343579,0.00629887,0
6,SPAEN,01-28-002-14W2,,12/8/2016,89.2,1.53164,21.7,-25,854.9,-21.18333333,-10.48047619,-22.7,-23.3,-20.5,-20.5,-20.3,-19.8,Crude,0,0,0,0,1,0,0,0,0,Medium_LSB,3,5257.84,12,6884610.627,4494927.416,468999.328,51.82722659,129.2072223,0.042864927,0
7,LRE,11-02-005-12W2,,12/8/2016,116.4,1.70589,5.6,-25,846.4,-21.18333333,-10.48047619,-22.7,-23.3,-20.5,-20.5,-20.3,-19.8,Crude,0,0,0,0,1,0,0,0,0,Medium_LSB,3,3105.33,12,4483678.22,2628351.312,361460.412,1183.298969,8.219319069,0.145380896,0
8,CRESC,07-07-006-15W2,,12/8/2016,80.5,2.88476,20.5,-25,872,-21.18333333,-10.48047619,-22.7,-23.3,-20.5,-20.5,-20.3,-19.8,Crude,0,0,0,0,0,0,1,0,0,Midale,5,4517.96,12,11364976.81,3939661.12,363695.78,252.555664,28.472896,0.067378454,0
9,SECUR ,08-28-005-33W1, REV,12/12/2016,82,1.00855,6,-24,839.7,-20.71666667,-21.13666667,-21.2,-19.4,-21.8,-19.3,-21.1,-21.5,Crude,0,0,0,0,1,0,0,0,0,Medium_LSB,3,106852.55,12,90491227.17,89724086.24,8761909.1,7.87E-07,14.69238358,0.099888571,0
10,RDGBK,02-26-009-09W2,,12/12/2016,85.9,0.16917,20.4,-24,812,-20.71666667,-21.13666667,-21.2,-19.4,-21.8,-19.3,-21.1,-21.5,Crude,0,0,0,1,0,0,0,0,0,Light_SW,2,6988.22,12,959944.108,5674434.64,600288.098,42.43307926,4.43852054,0.020708527,0
11,CRESC,09-14-009-08W2,,12/12/2016,121.1,0.19149,5.7,-24,802,-20.71666667,-21.13666667,-21.2,-19.4,-21.8,-19.3,-21.1,-21.5,Crude,0,0,0,1,0,0,0,0,0,Light_SW,2,30199.41,12,4637873.787,24219926.82,3657148.551,822.8827064,62.30292732,0.014782809,0
12,CRESC,04-08-008-08W2,,12/12/2016,111.3,0.27205,-7,-24,807.2,-20.71666667,-21.13666667,-21.2,-19.4,-21.8,-19.3,-21.1,-21.5,Crude,0,0,0,1,0,0,0,0,0,Light_SW,2,75984.03,12,16685998.77,61334309.02,8457022.539,356.6784352,7.253435794,0.001683016,0
13,RDGBK,03-33-008-06W2,,12/12/2016,107.9,0.34421,8.9,-24,804.3,-20.71666667,-21.13666667,-21.2,-19.4,-21.8,-19.3,-21.1,-21.5,Crude,0,0,0,1,0,0,0,0,0,Light_SW,2,13104.25,12,3627886.754,10539748.28,1413948.575,239.8140962,31.28411376,0.000969415,0
14,CRESC,04-08-008-08W2,,12/12/2016,112,0.37223,-6.8,-24,807.1,-20.71666667,-21.13666667,-21.2,-19.4,-21.8,-19.3,-21.1,-21.5,Crude,0,0,0,1,0,0,0,0,0,Light_SW,2,75984.03,12,22827641.49,61326710.61,8510211.36,383.6087403,7.802079862,0.003499364,0
15,CRESC,04-08-008-08W2,,12/12/2016,111.1,0.37223,-6.8,-24,807.8,-20.71666667,-21.13666667,-21.2,-19.4,-21.8,-19.3,-21.1,-21.5,Crude,0,0,0,1,0,0,0,0,0,Light_SW,2,75984.03,12,22847439.97,61379899.43,8441825.733,349.1640623,4.381571388,0.003499364,0
16,RDGBK,12-06-009-07W2,,12/12/2016,107,0.56927,-2,-24,805,-20.71666667,-21.13666667,-21.2,-19.4,-21.8,-19.3,-21.1,-21.5,Crude,0,0,1,0,0,0,0,0,0,Light_LSB,1,9482.96,12,4345683.535,7633782.8,1014676.72,204.3072367,181.415905,0.012686237,0
17,CRESC,13-13-007-02W2,,12/12/2016,81.1,1.27773,8,-24,850,-20.71666667,-21.13666667,-21.2,-19.4,-21.8,-19.3,-21.1,-21.5,Crude,0,0,0,0,1,0,0,0,0,Medium_LSB,3,4977.42,12,5405829.028,4230807,403668.762,0.811597561,41.82125455,0.002196941,0
18,SPAEN,16-18-011-04W2,,12/12/2016,86.3,1.57156,4.2,-24,852.7,-20.71666667,-21.13666667,-21.2,-19.4,-21.8,-19.3,-21.1,-21.5,Crude,0,0,0,0,1,0,0,0,0,Medium_LSB,3,7387.01,12,9899104.67,6298903.427,637498.963,18.48237175,84.03270617,0.060988485,0
19,SECUR ,08-28-005-33W1, SALES,12/12/2016,113.3,1.2964,4,-24,838.7,-20.71666667,-21.13666667,-21.2,-19.4,-21.8,-19.3,-21.1,-21.5,Crude,0,0,0,0,1,0,0,0,0,Medium_LSB,3,106852.55,12,116179781.7,89617233.69,12106393.92,979.6344685,23.35851262,0.000795326,0
20,CRESC,14-13-001-05W2,,12/13/2016,95.3,0.50932,1.9,-25,812,-17.95,-21.72380952,-18.1,-17.8,-18.3,-17,-18,-18.5,Crude,0,0,1,0,0,0,0,0,0,Light_LSB,1,18538.56,12,7666952.216,15053310.72,1766724.768,6.726803741,41.84889468,0.029784959,0
21,FEDER,05-31-002-01W2,,12/13/2016,93.9,0.80219,16,-25,825.7,-17.95,-21.72380952,-18.1,-17.8,-18.3,-17,-18,-18.5,Crude,0,0,0,0,1,0,0,0,0,Medium_LSB,3,8019.9,12,5312127.393,6622031.43,753068.61,141.5888879,318.01819,0.272913809,0
