ID,Producer,Producer.1,Battery,Battery.1,SDate,VP,VP_Adjusted,Sulf Input,Sulf,S.Temp,A.Temp,Dens Input,Dens,Temp.Mean,Temp.Roll,Estevan,Weyburn,Oxbow,Yellow Grass North,Melita,Kipling,CrudeType,Unknown,C5,Light_LSB,Light_SW,Medium_LSB,Medium_SW,Midale,Heavy_Sour,Heavy_SW,Crude_Breakdown,Crude_Num,VP_95_Spec,Post_Aquisition
1,CENOV,CENOV,05-16-006-13W2,,10/2/2015,53.1,37.26521739,,2.41,,,,872.7,11.73333333,13.05,10.9,11.7,11,12.5,13.5,10.8,Crude,0,0,0,0,0,0,1,0,0,Midale,5,0,0
2,CRESC,CRESC,07-07-006-15W2,,10/2/2015,72.1,56.26521739,,2.59,,,,876,11.73333333,13.05,10.9,11.7,11,12.5,13.5,10.8,Crude,0,0,0,0,0,0,1,0,0,Midale,5,0,0
3,SPAEN,SPAEN,11-12-006-15W2,,10/2/2015,104.8,88.96521739,,2.3,,,,872,11.73333333,13.05,10.9,11.7,11,12.5,13.5,10.8,Crude,0,0,0,0,0,0,1,0,0,Midale,5,0,0
4,CRESC,CRESC,07-07-006-15W2,,10/9/2015,70.7,54.86521739,,2.59,,,877.2,877.2,11.4,8.719047619,12.2,12.3,10.3,13.5,9.1,11,Crude,0,0,0,0,0,0,1,0,0,Midale,5,0,0
5,CENOV,CENOV,05-16-006-13W2,,10/9/2015,73.2,57.36521739,,2.41,,,,872.7,11.4,8.719047619,12.2,12.3,10.3,13.5,9.1,11,Crude,0,0,0,0,0,0,1,0,0,Midale,5,0,0
6,SPAEN,SPAEN,11-12-006-15W2,,10/9/2015,62.8,46.96521739,,2.3,,,,872,11.4,8.719047619,12.2,12.3,10.3,13.5,9.1,11,Crude,0,0,0,0,0,0,1,0,0,Midale,5,0,0
7,PMCL,PMCL,01-07-006-10W2, SALES,10/14/2015,112,103.7451389,,2.02,,,848,848,8.75,11.2047619,9.1,7.7,8.8,9,10.1,7.8,Crude,0,0,0,0,1,0,0,0,0,Medium_LSB,3,0,0
8,LRE,LRE,11-02-005-12W2,,10/14/2015,111.3,106.9218414,,1.44,,,822.6,822.6,8.75,11.2047619,9.1,7.7,8.8,9,10.1,7.8,Crude,0,0,1,0,0,0,0,0,0,Light_LSB,1,0,0
9,SPAEN,SPAEN,01-28-002-14W2,,10/14/2015,91.2,86.82184144,,1.26,,,823.1,823.1,8.75,11.2047619,9.1,7.7,8.8,9,10.1,7.8,Crude,0,0,1,0,0,0,0,0,0,Light_LSB,1,0,0
10,CRESC,CRESC,02-13-006-06W2,,10/14/2015,72.9,64.64513885,,1.53,,,843.3,843.3,8.75,11.2047619,9.1,7.7,8.8,9,10.1,7.8,Crude,0,0,0,0,1,0,0,0,0,Medium_LSB,3,0,0
11,SECUR ,SECUR ,08-28-005-33W1, SALES,10/14/2015,101.3,96.92184144,,1.03,,,,820.9,8.75,11.2047619,9.1,7.7,8.8,9,10.1,7.8,Crude,0,0,1,0,0,0,0,0,0,Light_LSB,1,0,0
12,RDGBK,RDGBK,12-22-007-11W2,,10/15/2015,90.5,86.12184144,,1.26,,,,825,5.7,10.65238095,4.5,4.8,8.8,6.5,4.7,4.9,Crude,0,0,1,0,0,0,0,0,0,Light_LSB,1,0,0
13,LRE,LRE,11-02-005-12W2,,10/16/2015,97.1,92.72184144,,1.44,,,822.2,822.2,6.016666667,9.883333333,5.2,5.5,8.8,7.5,4.5,4.6,Crude,0,0,1,0,0,0,0,0,0,Light_LSB,1,0,0
14,SPAEN,SPAEN,11-12-006-15W2,,10/16/2015,62.1,46.26521739,,2.3,,,870.1,870.1,6.016666667,9.883333333,5.2,5.5,8.8,7.5,4.5,4.6,Crude,0,0,0,0,0,0,1,0,0,Midale,5,0,0
15,CENOV,CENOV,05-16-006-13W2,,10/16/2015,113.2,97.36521739,,2.41,,,871.3,871.3,6.016666667,9.883333333,5.2,5.5,8.8,7.5,4.5,4.6,Crude,0,0,0,0,0,0,1,0,0,Midale,5,0,0
16,APACH,APACH,07-12-006-11W2,,10/16/2015,105.1,89.26521739,,2.08,,,875,875,6.016666667,9.883333333,5.2,5.5,8.8,7.5,4.5,4.6,Crude,0,0,0,0,0,0,1,0,0,Midale,5,0,0
17,CRESC,CRESC,07-07-006-15W2,,10/16/2015,112.9,97.06521739,,2.59,,,877.5,877.5,6.016666667,9.883333333,5.2,5.5,8.8,7.5,4.5,4.6,Crude,0,0,0,0,0,0,1,0,0,Midale,5,0,0
18,SPAEN,SPAEN,03-03-002-32W1,,10/16/2015,96,91.62184144,,1.15,,,,823.8,6.016666667,9.883333333,5.2,5.5,8.8,7.5,4.5,4.6,Crude,0,0,1,0,0,0,0,0,0,Light_LSB,1,0,0
19,CRESC,CRESC,04-08-008-08W2,,10/21/2015,95.4,94.73402913,,0.16,,,801,801,7.466666667,7.471428571,7.7,7.6,7,8.8,7.2,6.5,Crude,0,0,0,1,0,0,0,0,0,Light_SW,2,0,0
20,LRE,LRE,11-02-005-12W2,,10/21/2015,111.4,103.1451389,,1.44,,,831,831,7.466666667,7.471428571,7.7,7.6,7,8.8,7.2,6.5,Crude,0,0,0,0,1,0,0,0,0,Medium_LSB,3,0,0
