Date,Estevan,Weyburn,Oxbow,Yellow Grass North,Melita,Kipling,Temp.Mean,SD,Temp.Roll
1/1/2014,-23.6,-24.8,-27.3,-23,-26.7,-25.7,-25.18333333,1.70107809,-25.18333333
1/2/2014,-18.4,-21.5,-27.3,-18.5,-24.4,-18.8,-21.48333333,3.686416507,-23.33333333
1/3/2014,-9.2,-12.2,-27.3,-8.5,-10.4,-9.4,-12.83333333,7.202407005,-19.83333333
1/4/2014,-22.9,-24.2,-24.8,-24.3,-21.1,-26.6,-23.98333333,1.851935924,-20.87083333
1/5/2014,-29.9,-30.4,-32.5,-31.8,-30.3,-33.3,-31.36666667,1.373559852,-22.97
1/6/2014,-26.6,-27.7,-28,-27,-28,-28.2,-27.58333333,0.640052081,-23.73888889
1/7/2014,-25.6,-27.7,-23,-25,-24.7,-24.5,-25.08333333,1.545854672,-23.93095238
1/8/2014,-21.1,-24.1,-24.3,-21.5,-24.1,-20,-22.51666667,1.874477705,-23.55
1/9/2014,-5.5,-12.2,-13.3,-11,-9.6,-11.1,-10.45,2.725252282,-21.97380952
1/10/2014,-5,-8.3,-9.3,-7.5,-5.6,-9.2,-7.483333333,1.823641047,-21.20952381
1/11/2014,-5.1,-6.2,-4.5,-4.5,-7,-6.4,-5.616666667,1.060974395,-18.58571429
1/12/2014,-4.6,-5.9,-3.3,-4.3,-2.4,-5.1,-4.266666667,1.256450026,-14.71428571
1/13/2014,-10,-11.3,-15,-10,-11.4,-11.4,-11.51666667,1.833484842,-12.41904762
1/14/2014,-10.1,-10.7,-15,-7,-13.8,-10.8,-11.23333333,2.844409722,-10.44047619
1/15/2014,-2.2,-1.5,-6.8,-3.3,-7.8,-6,-4.6,2.611512971,-7.880952381
1/16/2014,-6.8,-7.5,-12.3,-9.5,-9.2,-12.5,-9.633333333,2.371216284,-7.764285714
1/17/2014,-5.8,-6.6,-9.3,-5,-8.2,-7.1,-7,1.570986951,-7.695238095
1/18/2014,-1.1,-1.7,-1.5,-0.8,-1.1,-1.6,-1.3,0.352136337,-7.078571429
1/19/2014,-0.6,-2.7,-3.3,-0.5,-6.4,-3.6,-2.85,2.189748844,-6.876190476
1/20/2014,-12.4,-12.8,-18.5,-16,-20.5,-19.6,-16.63333333,3.471407015,-7.607142857
1/21/2014,-12.6,-12.5,-18.3,-16,-15.6,-16.9,-15.31666667,2.335308688,-8.19047619
1/22/2014,-18.2,-20.7,-22.3,-21.8,-17.9,-25.1,-21,2.708505123,-10.53333333
1/23/2014,-15.2,-15.7,-16,-15.5,-15.7,-15.4,-15.58333333,0.2786874,-11.38333333
1/24/2014,-1.2,-0.9,-3.5,-0.5,-4.7,-1.6,-2.066666667,1.659718852,-10.67857143
